Record ID;Nome do negócio;Data de criação;Data de fechamento;Etapa do negócio;Valor_x;Valor do contrato anual_x;Receita anual recorrente;Valor total do contrato;Valor previsto;Valor na moeda da empresa;Valor do negócio projetado na moeda local;Valor do negócio projetado;Motivo de fechamento perdido_x;Negocios_Criados;Pipeline;Agendamentos;Agendamento_Aceito;Diagnostico;Proposta;Cliente;Valor_y;Valor do contrato anual_y;Motivo de fechamento perdido_y;Nome da empresa;Setor
10067849484;PORTOBELLO -;2022-09-05 11:44;2022-10-03 11:38;Negócio perdido;;;;;;;;;"Financeiro; Não é ICP";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Financeiro; Não é ICP";PORTOBELLO;Materiais de construção
9942666548;PEPSICO;2022-08-26 09:52;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;PEPSICO;Alimentos e bebidas
9922745002;FOCO ALUGUEL;2022-08-24 16:55;;Negócio perdido;;;;;;;;;"Financeiro; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Financeiro; Timing";FOCO ALUGUEL;
9910334978;GRUPO LÍDER;2022-08-23 15:08;;Negócio perdido;;;;;;;;;Não é ICP;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Nao;;;Não é ICP;GRUPO LÍDER;
9907461386;WE PINK;2022-08-23 11:32;;Negócio perdido;;;;;;;;;Não é ICP;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Não é ICP;WE PINK;
9892494180;JBS;2022-08-22 08:28;;Proposta Enviada (SQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Nao;;;;JBS;Produção de alimentos
9892391035;BAYER PHARMACEUTICALS;2022-08-22 08:28;;Negócio perdido;;;;;;;;;Não é ICP;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Não é ICP;BAYER PHARMACEUTICALS;Farmacêutica
9872374867;PETZ;2022-08-19 17:03;;Negócio perdido;;;;;;;;;"Desinteresse/Declinou; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Nao;Nao;;;"Desinteresse/Declinou; Timing";PETZ;
9849094535;NATURA&CO;2022-08-17 14:05;;Negócio perdido;;;;;;;;;"Maturação; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Nao;Nao;;;"Maturação; Timing";NATURA&CO;Cosméticos
9781871227;HOSPITAL SÍRIO-LIBANÊS;2022-08-10 15:12;2023-03-21 11:54;Cliente;390961.92;;;;390961.92;390961.92;390961.92;390961.92;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Sim;390961.92;;;HOSPITAL SÍRIO-LIBANÊS;Hospital e cuidados de saúde
9694270742;MART MINAS;2022-08-03 23:52;2022-09-07 21:28;Cliente;404911.98;;;;404911.98;404911.98;404911.98;404911.98;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Sim;404911.98;;;MART MINAS;Tecnologia da informação e serviços
9691251818;ZOOP;2022-08-03 14:24;;Negócio perdido;;;;;;;;;"Timing; Saiu da Empresa; Não é ICP; Financeiro";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Timing; Saiu da Empresa; Não é ICP; Financeiro";ZOOP;
9671392000;GRUPO MULTITÉCNICA;2022-08-01 22:26;;Negócio perdido;;;;;;;;;"Financeiro; Nós Declinamos";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Financeiro; Nós Declinamos";GRUPO MULTITÉCNICA;Produtos químicos
9556284505;ULTRAGAZ;2022-07-21 15:29;2022-10-07 14:44;Negócio perdido;;;;;;;;;Não é ICP;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Não é ICP;ULTRAGAZ;Petróleo e energia
9554698256;GRUPO ONCOCLINICAS;2022-07-21 12:54;;Negócio perdido;;;;;;;;;"Timing; Maturação";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Timing; Maturação";GRUPO ONCOCLINICAS;Hospital e cuidados de saúde
9535985760;WAP;2022-07-19 17:08;;Negócio perdido;;;;;;;;;"Financeiro; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Financeiro; Timing";WAP;Bens de consumo
9533639733;MOURA DUBEUX;2022-07-19 11:37;;Negócio perdido;;;;;;;;;"Sumiu; Nós Declinamos";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Sumiu; Nós Declinamos";MOURA DUBEUX;Construção
